collationid,typename,collation,characterset
1120,MariaDB,cp932_nopad_bin,cp932
97,MariaDB,eucjpms_japanese_ci,eucjpms
98,MariaDB,eucjpms_bin,eucjpms
1121,MariaDB,eucjpms_japanese_nopad_ci,eucjpms
1122,MariaDB,eucjpms_nopad_bin,eucjpms
1,MySQL,big5_chinese_ci,big5
84,MySQL,big5_bin,big5
3,MySQL,dec8_swedish_ci,dec8
69,MySQL,dec8_bin,dec8
4,MySQL,cp850_general_ci,cp850
80,MySQL,cp850_bin,cp850
6,MySQL,hp8_english_ci,hp8
72,MySQL,hp8_bin,hp8
7,MySQL,koi8r_general_ci,koi8r
74,MySQL,koi8r_bin,koi8r
5,MySQL,latin1_german1_ci,latin1
8,MySQL,latin1_swedish_ci,latin1
15,MySQL,latin1_danish_ci,latin1
31,MySQL,latin1_german2_ci,latin1
47,MySQL,latin1_bin,latin1
48,MySQL,latin1_general_ci,latin1
49,MySQL,latin1_general_cs,latin1
94,MySQL,latin1_spanish_ci,latin1
2,MySQL,latin2_czech_cs,latin2
9,MySQL,latin2_general_ci,latin2
21,MySQL,latin2_hungarian_ci,latin2
27,MySQL,latin2_croatian_ci,latin2
77,MySQL,latin2_bin,latin2
10,MySQL,swe7_swedish_ci,swe7
82,MySQL,swe7_bin,swe7
11,MySQL,ascii_general_ci,ascii
65,MySQL,ascii_bin,ascii
12,MySQL,ujis_japanese_ci,ujis
91,MySQL,ujis_bin,ujis
13,MySQL,sjis_japanese_ci,sjis
88,MySQL,sjis_bin,sjis
16,MySQL,hebrew_general_ci,hebrew
71,MySQL,hebrew_bin,hebrew
18,MySQL,tis620_thai_ci,tis620
89,MySQL,tis620_bin,tis620
19,MySQL,euckr_korean_ci,euckr
85,MySQL,euckr_bin,euckr
22,MySQL,koi8u_general_ci,koi8u
75,MySQL,koi8u_bin,koi8u
24,MySQL,gb2312_chinese_ci,gb2312
86,MySQL,gb2312_bin,gb2312
25,MySQL,greek_general_ci,greek
70,MySQL,greek_bin,greek
26,MySQL,cp1250_general_ci,cp1250
34,MySQL,cp1250_czech_cs,cp1250
44,MySQL,cp1250_croatian_ci,cp1250
66,MySQL,cp1250_bin,cp1250
99,MySQL,cp1250_polish_ci,cp1250
